"variant","source","f_revised"
"malt extract","barley","sweetener"
"paneer dices","milk","processed_ingredient"
"chicken bits","chicken","raw_agricultural_material"
"chicken meat","chicken","raw_agricultural_material"
"chicory root","chicory","raw_agricultural_material"
"chili powder","chili","taste profile / spice"
"green chilli","chili","taste profile / spice"
"green chilly","chili","taste profile / spice"
"red chillies","chili","taste profile / spice"
"chili powder","chili","taste profile / spice"
"white chilli","chili","taste profile / spice"
"clove powder","clove","taste profile / spice"
"cloves whole","clove","taste profile / spice"
"whole cloves","clove","taste profile / spice"
"cocoa powder","cocoa","flavouring agent"
"cocoa solids","cocoa","flavouring agent"
"cocoa butter","cocoa","lipid base"
"cumin powder","cumin","taste profile / spice"
"jeera powder","cumin","taste profile / spice"
"ground cumin","cumin","taste profile / spice"
"cuminextract","cumin","taste profile / spice"
"electrolytes","mineral","fortification_agent"
"carnauba wax","carnauba palm","glazing agent"
"kalonji seed","kalonji","taste profile / spice"
"soy lecithin","soybean | sunflower","emulsifier"
"lemon powder","lemon","flavouring agent"
"maltodextrin","corn | tapioca","bulking agent"
"milk protein","milk","processed_ingredient"
"nicotinamide","synthetic","fortification_agent"
"onion powder","onion","taste profile / spice"
"onion flakes","onion","taste profile / spice"
"spring onion","spring onion","taste profile / spice"
"papaya puree","papaya","raw_agricultural_material"
"rapeseed oil","rapeseed","lipid base"
"basmati rice","rice","raw_agricultural_material"
"malt extract","barley","sweetener"
"roasted poha","rice","raw_agricultural_material"
"maltodextrin","corn | tapioca","bulking agent"
"stearic acid","palm | soybean","emulsifier"
"tangy tomato","tomato","taste profile / spice"
"tomato paste","tomato","raw_agricultural_material"
"white pepper","pepper","taste profile / spice"
"whole grains","wheat | rice | corn","raw_agricultural_material"
"athimathuram","licorice","taste profile / spice"
"berries pulp","berry","raw_agricultural_material"
"bhut jolokia","bhut jolokia","taste profile / spice"
"fish gelatin","fish","gelling agent"
"calcium salt","mineral","fortification_agent"
"green chives","chives","taste profile / spice"
"citrus fiber","citrus","bulking agent"
"citrus fibre","citrus","bulking agent"
"sweet potato","sweet potato","raw_agricultural_material"
"ferrous salt","mineral","fortification_agent"
"fumaric acid","synthetic","acidity regulator"
"lutein color","marigold","colour"
"l-lysine hcl","synthetic","fortification_agent"
"methocel k4m","synthetic","thickener"
"nata de coco","coconut","gelling agent"
"palm stearin","palm","lipid base"
"stone flower","lichen","taste profile / spice"
"palmolein oil","palm","lipid base"
"palmolien oil","palm","lipid base"
"vegetable fat","palm | soybean | groundnut","lipid base"
"vegetable oil","palm | soybean | sunflower | groundnut","lipid base"
"sauncharnamak","mineral","taste profile / spice"
"carrot powder","carrot","colour"
"carrot flakes","carrot","colour"
"cashew pieces","cashew","raw_agricultural_material"
"whole cashews","cashew","raw_agricultural_material"
"color ins 102","synthetic","colour"
"yellow 5 lake","synthetic","colour"
"color ins 110","synthetic","colour"
"yellow 6 lake","synthetic","colour"
"caramel color","sugarcane","colour"
"color annatto","annatto","colour"
"color ins 100","turmeric","colour"
"color ins 162","beetroot","colour"
"color ins 163","grape | berry","colour"
"color ins 171","mineral","colour"
"color ins 141","spinach | spirulina","colour"
"color ins 160","annatto | carrot","colour"
"beta-carotene","carrot","colour"
"color ins 129","synthetic","colour"
"color ins 133","synthetic","colour"
"color ins 132","synthetic","colour"
"color ins 127","synthetic","colour"
"color ins 124","synthetic","colour"
"color ins 122","synthetic","colour"
"color ins 101","riboflavin","colour"
"garlic powder","garlic","taste profile / spice"
"ginger powder","ginger","taste profile / spice"
"glucose syrup","corn | tapioca","sweetener"
"maltose syrup","corn | rice","sweetener"
"refined flour","wheat","raw_agricultural_material"
"amchur powder","mango","taste profile / spice"
"millet flakes","millet","raw_agricultural_material"
"little millet","millet","raw_agricultural_material"
"finger millet","millet","raw_agricultural_material"
"rice bran oil","rice","lipid base"
"soya granules","soybean","raw_agricultural_material"
"defatted soya","soybean","processed_ingredient"
"soya bean oil","soybean","lipid base"
"refined sugar","sugarcane","sweetener"
"coconut sugar","coconut","sweetener"
"sunflower oil","sunflower","lipid base"
"wafer biscuit","wheat","raw_agricultural_material"
"zinc sulphate","mineral","fortification_agent"
"almond pieces","almond","raw_agricultural_material"
"whole almonds","almond","raw_agricultural_material"
"orange powder","orange","taste profile / spice"
"fennel powder","fennel","taste profile / spice"
"yeast extract","yeast","flavouring agent"
"whey proteins","milk","processed_ingredient"
"whey peptides","milk","fortification_agent"
"latic culture","lactobacillus","antioxidant|preservative"
"ajwair powder","ajwain","taste profile / spice"
"bishop's seed","ajwain","taste profile / spice"
"bishop's weed","ajwain","taste profile / spice"
"apricot juice","apricot","flavouring agent"
"arabica beans","coffee","taste profile / spice"
"robusta beans","coffee","taste profile / spice"
"baking powder","synthetic","raising agent"
"banana powder","banana","processed_ingredient"
"malted barley","barley","raw_agricultural_material"
"tulsi extract","tulsi","flavouring agent"
"krishna tulsi","tulsi","taste profile / spice"
"cassia leaves","cassia","taste profile / spice"
"pepper powder","pepper","taste profile / spice"
"cellulose gum","wood pulp | cotton","thickener"
"cellulose gum","wood pulp | cotton","thickener"
"paneer cheese","milk","processed_ingredient"
"cheese powder","milk","processed_ingredient"
"chilli powder","chilli","taste profile / spice"
"chilli flakes","chilli","taste profile / spice"
"green chilies","chilli","taste profile / spice"
"mild jalapeño","jalapeño","taste profile / spice"
"yellow chilli","chilli","taste profile / spice"
"cinnamon bark","cinnamon","taste profile / spice"
"clover powder","clover","taste profile / spice"
"cloves powder","clove","taste profile / spice"
"cacao en pâte","cocoa","taste profile / spice"
"shveta jiraka","cumin","taste profile / spice"
"cumin extract","cumin","taste profile / spice"
"yogurt powder","milk","processed_ingredient"
"wheat dextrin","wheat","bulking agent"
"mineral salts","mineral","raw_agricultural_material"
"cardamom seed","cardamom","taste profile / spice"
"greengram dal","greengram","raw_agricultural_material"
"groundnut oil","groundnut","lipid base"
"blossom honey","honey","sweetener"
"alkaline salt","mineral","acidity regulator"
"soya lecithin","soybean | sunflower","emulsifier"
"black lentils","lentil","raw_agricultural_material"
"milk products","milk","raw_agricultural_material"
"dairy product","milk","raw_agricultural_material"
"rennet casein","milk","fermentation_agent"
"mineral salts","mineral","raw_agricultural_material"
"mustard seeds","mustard","taste profile / spice"
"mustard whole","mustard","taste profile / spice"
"nutmeg powder","nutmeg","taste profile / spice"
"dried oregano","oregano","taste profile / spice"
"passion fruit","passion fruit","flavouring agent"
"phenylalaline","synthetic","fortification_agent"
"potato flakes","potato","raw_agricultural_material"
"potato powder","potato","processed_ingredient"
"potato sticks","potato","raw_agricultural_material"
"pumpkin seeds","pumpkin","raw_agricultural_material"
"puffed quinoa","quinoa","raw_agricultural_material"
"rice crispies","rice","raw_agricultural_material"
"spinach paste","spinach","raw_agricultural_material"
"spinach puree","spinach","raw_agricultural_material"
"tamarind pulp","tamarind","flavouring agent"
"tartaric acid","synthetic | grape","acidity regulator"
"tomato powder","tomato","processed_ingredient"
"french tomato","tomato","raw_agricultural_material"
"treated water","water","raw_agricultural_material"
"ethyl alcohol","sugarcane | corn","solvent"
"dl methionine","synthetic","fortification_agent"
"dl-methionine","synthetic","fortification_agent"
"psyllium husk","psyllium","thickener"
"hemicellulase","aspergillus niger","flour treatment agent"
"yogurt powder","milk","processed_ingredient"
"mackerel fish","mackerel","raw_agricultural_material"
"cod liver oil","cod","lipid base"
"vegetable fats","palm | soybean | groundnut","lipid base"
"vegetable oils","palm | soybean | sunflower | groundnut","lipid base"
"grated carrots","carrot","raw_agricultural_material"
"yellow 5 color","synthetic","colour"
"yellow 6 color","synthetic","colour"
"color ins 150a","sugarcane | corn","colour"
"color ins 150c","sugarcane | corn","colour"
"color ins 150d","sugarcane | corn","colour"
"caramel powder","sugarcane","colour|sweetener"
"color ins 160b","annatto","colour"
"color ins 160c","paprika","colour|taste profile / spice"
"colour ins 100","turmeric","colour|taste profile / spice"
"color ins 163c","grape | berry","colour"
"color ins 160a","annatto | carrot","colour"
"color ins e122","synthetic","colour"
"cultured cream","milk","fermentation_agent"
"ginger extract","ginger","flavouring agent"
"liquid glucose","corn | tapioca","sweetener"
"hazelnut paste","hazelnut","raw_agricultural_material"
"haselnusspaste","hazelnut","raw_agricultural_material"
"alphonso mango","mango","raw_agricultural_material"
"foxtail millet","millet","raw_agricultural_material"
"barnyard flour","barnyard millet","raw_agricultural_material"
"pistachio nuts","pistachio","raw_agricultural_material"
"powdered sugar","sugarcane","sweetener"
"refined sugars","sugarcane","sweetener"
"jaggery powder","sugarcane","sweetener"
"glucose powder","corn | tapioca","sweetener"
"urad dal flour","black gram","raw_agricultural_material"
"udad dal flour","black gram","raw_agricultural_material"
"black gram dal","black gram","raw_agricultural_material"
"wheat crispies","wheat","raw_agricultural_material"
"zinc gluconate","synthetic","fortification_agent"
"almonds pieces","almond","raw_agricultural_material"
"acid regulator","synthetic | corn","acidity regulator"
"sodium acetate","synthetic","acidity regulator"
"coriander seed","coriander","taste profile / spice"
"orange extract","orange","flavouring agent"
"tumeric powder","turmeric","colour|taste profile / spice"
"turmeric whole","turmeric","taste profile / spice"
"snf toned milk","milk","processed_ingredient"
"active culture","lactobacillus | streptococcus","fermentation_agent"
"s thermophilus","streptococcus thermophilus","fermentation_agent"
"s.thermophilus","streptococcus thermophilus","fermentation_agent"
"aloe vera bits","aloe vera","raw_agricultural_material"
"aniseed powder","anise","taste profile / spice"
"instant coffee","coffee","flavouring agent"
"soluble coffee","coffee","flavouring agent"
"coffee extract","coffee","flavouring agent"
"chickpea flour","chickpea","raw_agricultural_material"
"split chickpea","chickpea","raw_agricultural_material"
"black cardamom","cardamom","taste profile / spice"
"brown cardamom","cardamom","taste profile / spice"
"large cardamom","cardamom","taste profile / spice"
"cooking butter","milk","lipid base"
"cereal extract","wheat | rice | corn","raw_agricultural_material"
"cottage cheese","milk","processed_ingredient"
"cheddar cheese","milk","processed_ingredient"
"paneer protein","milk","processed_ingredient"
"dry red chilli","chilli","taste profile / spice"
"green chillies","chilli","taste profile / spice"
"chilli extract","chilli","taste profile / spice"
"cinnamon whole","cinnamon","taste profile / spice"
"pasta di cacao","cocoa","raw_agricultural_material"
"coconut powder","coconut","processed_ingredient"
"grated coconut","coconut","raw_agricultural_material"
"condensed milk","milk","processed_ingredient"
"cottonseed oil","cottonseed","lipid base"
"cranberry pulp","cranberry","raw_agricultural_material"
"cucumber seeds","cucumber","raw_agricultural_material"
"yoghurt powder","milk","processed_ingredient"
"cyanocobalamin","synthetic","fortification_agent"
"dairy whitener","milk","processed_ingredient"
"ergocalciferol","synthetic","fortification_agent"
"flour improver","synthetic","flour treatment agent"
"green cardamom","cardamom","taste profile / spice"
"cardamom whole","cardamom","taste profile / spice"
"small cardamom","cardamom","taste profile / spice"
"moon dal flour","green gram","raw_agricultural_material"
"lentil protein","lentil","processed_ingredient"
"moth dal flour","moth bean","raw_agricultural_material"
"mustard leaves","mustard","taste profile / spice"
"organic nutmeg","nutmeg","taste profile / spice"
"parsley leaves","parsley","taste profile / spice"
"sherwan pepper","pepper","taste profile / spice"
"split red gram","pigeon pea","raw_agricultural_material"
"red gram split","pigeon pea","raw_agricultural_material"
"redgram splits","pigeon pea","raw_agricultural_material"
"pineapple pulp","pineapple","raw_agricultural_material"
"wheat semolina","wheat","raw_agricultural_material"
"sodium citrate","synthetic | corn","acidity regulator"
"sorbitol syrup","corn","humectant"
"spinach powder","spinach","processed_ingredient"
"tapioca starch","tapioca","processed_ingredient"
"vanila extract","vanilla","flavouring agent"
"vanilleschoten","vanilla","taste profile / spice"
"filtered water","water","raw_agricultural_material"
"resultant atta","wheat","raw_agricultural_material"
"l-arginine hcl","synthetic","fortification_agent"
"basa pangasius","fish","raw_agricultural_material"
"bovine gelatin","beef","gelling agent"
"datem ins 472e","palm | soybean | sunflower","emulsifier"
"dried bok choy","bok choy","raw_agricultural_material"
"hadjod extract","hadjod","raw_agricultural_material"
"jackfruit pulp","jackfruit","raw_agricultural_material"
"yellow pumpkin","pumpkin","raw_agricultural_material"
"color ins 161g","marigold","colour"
"macaroni pasta","wheat","raw_agricultural_material"
"walnut inshell","walnut","raw_agricultural_material"
"water caltrope","water caltrop","raw_agricultural_material"
"yoghurt powder","milk","processed_ingredient"
"palm kernel oil","palm","lipid base"
"palm kernel fat","palm","lipid base"
"palm superolein","palm","lipid base"
"sodium chloride","mineral","raw_agricultural_material"
"color ins 100 i","turmeric","colour"
"allura red lake","synthetic","colour"
"modified starch","corn | tapioca | potato","thickener"
"hazelnut pieces","hazelnut","raw_agricultural_material"
"magnesium oxide","mineral","fortification_agent"
"vollmilchpulver","milk","processed_ingredient"
"full cream milk","milk","raw_agricultural_material"
"mint flavouring","mint","flavouring agent"
"sodium selenite","mineral","NULL"
"sodium selenate","mineral","NULL"
"sweetener 960 a","stevia","sweetener"
"strawberry pulp","strawberry","raw_agricultural_material"
"sprinkled sugar","sugarcane","sweetener"
"sugarcane juice","sugarcane","sweetener"
"fructose powder","sugarcane | corn","sweetener"
"retinyl acetate","synthetic | fish liver oil","NULL"
"roasted almonds","almond","raw_agricultural_material"
"fenugreek seeds","fenugreek","taste profile / spice"
"coriander seeds","coriander","taste profile / spice"
"coriander whole","coriander","taste profile / spice"
"coriander puree","coriander","taste profile / spice"
"turmeric powder","turmeric","taste profile / spice"
"turmeris powder","turmeric","taste profile / spice"
"saffron threads","saffron","taste profile / spice"
"dehydrated peas","peas","raw_agricultural_material"
"a2 cow milk fat","milk","lipid base"
"aloe vera juice","aloe vera","humectant"
"silicon dioxide","mineral","anticaking agent"
"apricot kernels","apricot","raw_agricultural_material"
"bengal gram dal","bengal gram","raw_agricultural_material"
"chickpeas flour","chickpea","raw_agricultural_material"
"assam black tea","tea plant","flavouring agent"
"kashmiri chilli","chilli","taste profile / spice"
"red chilli bits","chilli","taste profile / spice"
"cholecalciferol","fish liver oil | synthetic","fortification_agent"
"cinnamon leaves","cinnamon","taste profile / spice"
"cinnamon powder","cinnamon","taste profile / spice"
"copper sulphate","mineral","NULL"
"cupric sulphate","mineral","NULL"
"emulsifier pgpr","castor bean","emulsifier"
"enzyme ins 1100","synthetic","enzyme"
"improver enzyme","synthetic","flour treatment agent"
"cardamom powder","cardamom","taste profile / spice"
"split moong dal","mung bean","raw_agricultural_material"
"split mung bean","mung bean","raw_agricultural_material"
"moong dal flour","mung bean","raw_agricultural_material"
"hyaluronic acid","synthetic","humectant"
"carrier lactose","milk","carrier"
"lime flavouring","lime","flavouring agent"
"milk components","milk","raw_agricultural_material"
"milk flavouring","milk","flavouring agent"
"micellar casein","milk","processed_ingredient"
"moringa extract","moringa","NULL"
"moth bean flour","moth bean","raw_agricultural_material"
"dew beans flour","dew bean","raw_agricultural_material"
"husked dew gram","dew bean","raw_agricultural_material"
"oyster mushroom","mushroom","raw_agricultural_material"
"schezwan pepper","schezwan pepper","taste profile / spice"
"pineapple juice","pineapple","flavouring agent"
"anardana powder","pomegranate","taste profile / spice"
"mineral ins 224","mineral","preservative"
"mineral ins 202","mineral","preservative"
"red rice flakes","red rice","raw_agricultural_material"
"rose flavouring","rose","flavouring agent"
"roasted seaweed","seaweed","taste profile / spice"
"silicon dioxide","mineral","anticaking agent"
"sodium benzoate","synthetic","preservative"
"stinging nettle","stinging nettle","raw_agricultural_material"
"sunflower seeds","sunflower","raw_agricultural_material"
"tamarind powder","tamarind","taste profile / spice"
"triphala powder","amla | bibhitaki | haritaki","taste profile / spice"
"vanilla extract","vanilla","flavouring agent"
"distilled water","water","NULL"
"sparkling water","water","NULL"
"gelatin ins 428","pork | beef | fish","gelling agent"
"buckwheat flour","buckwheat","raw_agricultural_material"
"enzyme ins 1104","synthetic","enzyme"
"protease enzyme","synthetic","enzyme"
"psyllium powder","psyllium","thickener"
"guduchi extract","guduchi","NULL"
"phosphoric acid","mineral","acidity regulator"
"precooked pasta","wheat","processed_ingredient"
"salmon fish oil","salmon","lipid base"
"refined palm oil","palm","lipid base"
"fractionated fat","palm","lipid base"
"caramel ins 150c","sugarcane","colour"
"annatto ins 160b","annatto","colour"
"annatto extracts","annatto","colour"
"paprika extracts","paprika","colour"
"curcumin ins 100","turmeric","colour"
"beet red ins 162","beetroot","colour"
"titanium dioxide","mineral","colour"
"artificial color","synthetic","colour"
"wet dates zahldi","date","sweetener"
"nocciole turchia","hazelnut","raw_agricultural_material"
"magnesium malate","synthetic | apple","acidity regulator"
"fine wheat flour","wheat","raw_agricultural_material"
"wheat flour iron","wheat","raw_agricultural_material"
"dry mango powder","mango","taste profile / spice"
"mango flavouring","mango","flavouring agent"
"dried whole milk","milk","processed_ingredient"
"magermilchpulver","milk","processed_ingredient"
"mint leaf powder","mint","taste profile / spice"
"pistachio pieces","pistachio","raw_agricultural_material"
"pista flavouring","pistachio","flavouring agent"
"refined soya oil","soybean","lipid base"
"strawberry fruit","strawberry","raw_agricultural_material"
"strawberry puree","strawberry","raw_agricultural_material"
"strawberry juice","strawberry","flavouring agent"
"granulated sugar","sugarcane","sweetener"
"split black gram","black gram","raw_agricultural_material"
"sunflower gluten","sunflower","processed_ingredient"
"flax seed powder","flax","processed_ingredient"
"badam flavouring","almond","flavouring agent"
"fenugreek leaves","fenugreek","taste profile / spice"
"fenugreek powder","fenugreek","taste profile / spice"
"coriander powder","coriander","taste profile / spice"
"coriander leaves","coriander","taste profile / spice"
"coniander powder","coriander","taste profile / spice"
"kesar flavouring","saffron","flavouring agent"
"calcium silicate","mineral","anticaking agent"
"apple flavouring","apple","flavouring agent"
"arrowroot powder","arrowroot","processed_ingredient"
"chick peas flour","chickpea","raw_agricultural_material"
"split chick peas","chickpea","raw_agricultural_material"
"black tea leaves","tea","flavouring agent"
"assam tea leaves","tea","flavouring agent"
"butter from milk","milk","lipid base"
"microbial rennet","synthetic","fermentation_agent"
"pasteurized milk","milk","raw_agricultural_material"
"processed cheese","milk","processed_ingredient"
"red chili powder","chili","taste profile / spice"
"red chilli whole","chili","taste profile / spice"
"choline chloride","synthetic","NULL"
"diluent ins 1520","synthetic","carrier"
"egg white powder","egg","processed_ingredient"
"ferrous sulphate","mineral","antioxidant"
"clarified butter","milk","lipid base"
"split green gram","green gram","raw_agricultural_material"
"green tea leaves","tea","flavouring agent"
"guava flavouring","guava","flavouring agent"
"honey flavouring","honey","flavouring agent"
"jamun flavouring","jamun","flavouring agent"
"kewra flavouring","kewra","flavouring agent"
"lactobilus casei","milk","NULL"
"lemon flavouring","lemon","flavouring agent"
"dairy flavouring","milk","flavouring agent"
"onion flavouring","onion","flavouring agent"
"dehydrated onion","onion","flavouring agent"
"pantothenic acid","synthetic | corn","NULL"
"potassium iodate","mineral","antioxidant"
"potassium iodide","mineral","antioxidant"
"gulab flavouring","rose","flavouring agent"
"rosemary extract","rosemary","flavouring agent"
"sodium molybdate","mineral","antioxidant"
"soy sauce powder","soybean | wheat","taste profile / spice"
"star anise seeds","star anise","taste profile / spice"
"watermelon seeds","watermelon","raw_agricultural_material"
"blackberry puree","blackberry","raw_agricultural_material"
"sodium caseinate","milk","processed_ingredient"
"cultured glucose","corn | tapioca","sweetener"
"improver ins 472","palm | soybean | sunflower","emulsifier"
"gajar flavouring","carrot","flavouring agent"
"microbial enzyme","synthetic","fermentation_agent"
"ferrous fumarate","mineral","fortification_agent"
"glucuronolactone","synthetic | corn","NULL"
"quillaja extract","quillaja","foaming agent"
"sourdough powder","wheat","processed_ingredient"
"sardine fish oil","sardine","lipid base"
"refined palmolein","palm","lipid base"
"bakery shortening","palm | soybean | groundnut","lipid base"
"hydrogenated oils","palm | soybean | groundnut","lipid base"
"sauvarchalalavana","mineral","taste profile / spice"
"dehydrated carrot","carrot","raw_agricultural_material"
"carrot flavouring","carrot","flavouring agent"
"color ins 160b ii","annatto","colour"
"chlorophyll color","green leaves","colour"
"color ins 160a ii","carrot","colour"
"allura red ac 129","synthetic","colour"
"color fd&c red 40","synthetic","colour"
"color blue 1 lake","synthetic","colour"
"color blue 2 lake","synthetic","colour"
"artificial colors","synthetic","colour"
"dehydrated garlic","garlic","taste profile / spice"
"garlic flavouring","garlic","flavouring agent"
"corn syrup solids","corn","sweetener|bulking agent"
"candy sugar syrup","sugarcane","sweetener"
"pasta di nocciole","hazelnut","raw_agricultural_material"
"purée de noisette","hazelnut","raw_agricultural_material"
"roasted hazelnuts","hazelnut","taste profile / spice"
"haselnüsse türkei","hazelnut","raw_agricultural_material"
"noisettes turquie","hazelnut","raw_agricultural_material"
"magnesium sulfate","mineral","firming agent"
"magnesium taurate","mineral","firming agent"
"whole milk powder","milk","processed_ingredient"
"camel milk powder","camel milk","processed_ingredient"
"standardised milk","milk","raw_agricultural_material"
"pudina flavouring","mint","flavouring agent"
"soya bean extract","soybean","raw_agricultural_material"
"steviol glycoside","stevia","sweetener"
"sweetener ins 960","stevia","sweetener"
"strawberry powder","strawberry","flavouring agent"
"candy sugar syrup","sugarcane","sweetener"
"husked black gram","black gram","raw_agricultural_material"
"distilled vinegar","sugarcane","acidity regulator"
"synthetic vinegar","synthetic","acidity regulator"
"vitamin a acetate","synthetic","fortification_agent"
"retinyl palmitate","palm","NULL"
"flax seed extract","flax","raw_agricultural_material"
"almond flavouring","almond","flavouring agent"
"acidity regulator","synthetic | mineral","acidity regulator"
"coagulant ins 575","corn","coagulant"
"calcium phosphate","mineral","firming agent"
"humectant ins 451","synthetic","humectant"
"humectant ins 452","synthetic","humectant"
"sodium phosphates","mineral","acidity regulator|emulsifier|sequestrant"
"calcium carbonate","mineral","anticaking agent|colour"
"asafoetida powder","asafoetida","taste profile / spice"
"stabilizer ns 415","corn","stabiliser"
"thickener ins 415","corn","thickener"
"coriander extract","coriander","taste profile / spice"
"citrus pulp cells","citrus","raw_agricultural_material"
"orange pulp cells","orange","raw_agricultural_material"
"orange flavouring","orange","flavouring agent"
"turmeric extracts","turmeric","colour"
"double toned milk","milk","raw_agricultural_material"
"standardised milk","milk","raw_agricultural_material"
"standardized milk","milk","raw_agricultural_material"
"sweetener ins 950","synthetic","sweetener"
"antifoaming agent","synthetic","antifoaming agent"
"anticaking agents","mineral","anticaking agent"
"coffee flavouring","coffee","flavouring agent"
"dry cassia leaves","cassia","taste profile / spice"
"bengal gram flour","bengal gram","raw_agricultural_material"
"bengal gram grits","bengal gram","raw_agricultural_material"
"split bengal gram","bengal gram","raw_agricultural_material"
"black pepper bits","black pepper","taste profile / spice"
"thickener ins 466","wood pulp | cotton","thickener"
"red chilli flakes","red chilli","taste profile / spice"
"red chilli powder","red chilli","taste profile / spice"
"red chilly flakes","red chilli","taste profile / spice"
"red chilly powder","red chilli","taste profile / spice"
"chromium chloride","mineral","NULL"
"citrus pulp cells","citrus","raw_agricultural_material"
"orange pulp cells","orange","raw_agricultural_material"
"candied cranberry","cranberry","sweetener"
"thickener ins 414","acacia tree","thickener"
"cake gel ins 470a","palm | soybean | sunflower","emulsifier"
"thickener ins 508","mineral","thickener"
"improver ins 1100","aspergillus oryzae","flour treatment agent"
"improver ins 1102","aspergillus niger","flour treatment agent"
"improver ins 1104","aspergillus oryzae","flour treatment agent"
"humectant ins 422","palm | soybean | sunflower","humectant"
"green gram flakes","green gram","raw_agricultural_material"
"husked green gram","green gram","raw_agricultural_material"
"whole green moong","green gram","raw_agricultural_material"
"moong dal protein","green gram","processed_ingredient"
"green tea extract","green tea","flavouring agent"
"thickener ins 412","guar bean","thickener|stabiliser"
"electrolytic iron","mineral","fortification_agent"
"dehydrated kachri","kachri","taste profile / spice"
"soyabean lecithin","soybean","emulsifier"
"litchi flavouring","litchi","flavouring agent"
"acidulant ins 296","synthetic","acidity regulator"
"corn maltodextrin","corn","bulking agent"
"manganese citrate","mineral","fortification_agent"
"origanum majorana","marjoram","taste profile / spice"
"thickener ins 440","apple | citrus","thickener|stabiliser"
"stabilizer pectin","apple | citrus","stabiliser|thickener|gelling agent"
"pomegranate juice","pomegranate","flavouring agent"
"pomegranate seeds","pomegranate","raw_agricultural_material"
"potassium sorbate","synthetic","preservative"
"star anise powder","star anise","taste profile / spice"
"sweetener ins 955","synthetic","sweetener"
"vegetable protein","soybean | groundnut | pea","processed_ingredient"
"vitamin b complex","synthetic","fortification_agent"
"ro-purified water","water","raw_agricultural_material"
"whole wheat flour","wheat","raw_agricultural_material"
"whole wheat flour","wheat","raw_agricultural_material"
"black truffle oil","truffle","lipid base"
"calcium caseinate","milk","processed_ingredient"
"cantaloupe powder","cantaloupe","flavouring agent"
"ferrous gluconate","mineral","fortification_agent"
"trans fatty acids","palm | soybean | groundnut","lipid base"
"pueraria tuberosa","pueraria tuberosa","raw_agricultural_material"
"pullulan ins 1204","aureobasidium pullulans","thickener|stabiliser|gelling agent"
"red currant dices","red currant","raw_agricultural_material"
"red currant puree","red currant","raw_agricultural_material"
"sunflower creamer","sunflower","emulsifier"
"thaumatin ins 957","thaumatococcus daniellii","sweetener"
"wheatgrass powder","wheatgrass","processed_ingredient"
"improver xylanase","trichoderma reesei","flour treatment agent"
"sauvarchala lavana","mineral","taste profile / spice"
"common edible salt","mineral","raw_agricultural_material"
"edible common salt","mineral","raw_agricultural_material"
"color ins 160a iii","carrot","colour"
"edible maze starch","corn","processed_ingredient"
"thickener ins 1422","corn | tapioca","thickener"
"thickener ins 1405","tapioca","thickener"
"thickener ins 1412","corn","thickener"
"thickener ins 1442","corn | tapioca","thickener"
"thickener ins 1401","corn | potato","thickener"
"thickener ins 1440","corn | tapioca","thickener"
"sweet cream powder","milk","processed_ingredient"
"high maltose syrup","corn | tapioca","sweetener"
"salts of magnesium","mineral","fortification_agent"
"magnesium stearate","mineral | palm","anticaking agent"
"magnesium sulphate","mineral","fortification_agent"
"magnesium chloride","mineral","firming agent"
"dried mango powder","mango","taste profile / spice"
"mango fruit powder","mango","taste profile / spice"
"mango juice powder","mango","flavouring agent"
"dried mango slices","mango","taste profile / spice"
"dried skimmed milk","milk","processed_ingredient"
"whole grain saamai","saamai","raw_agricultural_material"
"sweetener ins 960a","stevia","sweetener"
"sweetener ins e960","stevia","sweetener"
"dextrose anhydrous","corn | tapioca","sweetener"
"invert sugar syrup","sugarcane","sweetener"
"split black lentil","lentil","raw_agricultural_material"
"sushi rice vinegar","rice","flavouring agent"
"acidity regulators","synthetic | corn","acidity regulator"
"stabilizer ins 450","synthetic","stabiliser"
"texturizer ins 451","synthetic","stabiliser"
"emulsifier ins 452","synthetic","emulsifier"
"stabilizer ins 452","synthetic","stabiliser"
"stabilizer ins 339","mineral","stabiliser"
"stabilizer ins 340","mineral","stabiliser"
"raising agents 341","mineral","raising agent"
"stabilizer ins 341","mineral","stabiliser"
"stabilizer ins 170","mineral","stabiliser"
"sodium bicarbonate","synthetic","raising agent"
"citric acid powder","synthetic | corn","acidity regulator"
"emulsifier ins 415","synthetic","emulsifier"
"stabilizer ins 415","synthetic","stabiliser"
"dhaniya distillate","coriander","flavouring agent"
"orange peel powder","orange","taste profile / spice"
"saffron flavouring","saffron","flavouring agent"
"maltitol ins 965 i","corn | wheat","sweetener|bulking agent"
"proteins from whey","milk","processed_ingredient"
"whole ajwain seeds","ajwain","taste profile / spice"
"carom seeds powder","ajwain","taste profile / spice"
"emulsifier ins 442","rapeseed | soybean","emulsifier"
"krishna tulsi leaf","tulsi","taste profile / spice"
"tulsi leaf extract","tulsi","flavouring agent"
"sella basmati rice","rice","raw_agricultural_material"
"white basmati rice","rice","raw_agricultural_material"
"roasted split gram","chickpea","raw_agricultural_material"
"black pepper whole","black pepper","taste profile / spice"
"dried blackcurrant","blackcurrant","sweetener"
"clarified milk fat","milk","lipid base"
"stabilizer ins 466","wood pulp | cotton","stabiliser"
"stabilizer ins 460","wood pulp","stabiliser"
"green chilli paste","green chilli","taste profile / spice"
"green chilli puree","green chilli","taste profile / spice"
"kashmiri lal mirch","chilli","taste profile / spice"
"dried green chilli","green chilli","taste profile / spice"
